,autoridadSancionadora,sancion,causa,dependencia,genero,puesto,inhabilitacion,value
231,Organo de Control Interno,INHABILITADO,ENRIQUECIMIENTO OCULTO,Seguridad Nacional,Mujer,Subdirector de Area,3.0,1
232,OIC,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Hombre,Director General Paraestatal C,8.0,1
233,Organo de Control Interno,INHABILITADO,CONTRATACIÓN INDEBIDA,Servicios,Mujer,Director de Area,5.0,1
234,Tribunal,INHABILITADO,CONFLICTO DE INTERÉS,Medio Ambiente,Hombre,Jefe de Departamento,3.0,1
235,OIC,INHABILITADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Jefe de Departamento,8.0,1
236,OIC,DESTITUCION,NEPOTISMO,Educación e Investigación,Mujer,Titular de Unidad,3.0,1
237,Tribunal,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Educación e Investigación,Mujer,Subadministrador,1.0,1
238,Tribunal,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Economía y Desarrollo,Hombre,Director General Paraestatal A,3.0,1
239,Organo de Control Interno,INHABILITADO,PECULADO,Economía y Desarrollo,Hombre,Secretario/a de Estado A,8.0,1
240,Tribunal,INHABILITADO,ENRIQUECIMIENTO OCULTO,Energía,Mujer,Director General Adjunto,4.0,1
241,Organo de Control Interno,SUSPENSION,NEPOTISMO,Gobernanza y Justicia,Mujer,Administrador,7.0,1
242,Organo de Control Interno,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Arte y Cultura,Hombre,Secretario/a de Estado A,10.0,1
243,Tribunal,SUSPENSION,DESVÍO DE RECURSOS PÚBLICOS,Salud,Hombre,Jefe de Departamento,8.0,1
244,Contraloría Interna,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Medio Ambiente,Hombre,Jefe de Departamento,10.0,1
245,IMSS,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Subdirector,4.0,1
246,SHCP,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Director General Adjunto,2.0,1
247,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Jefe de departamento,2.0,1
248,IMSS,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General Adjunto,2.0,1
249,SHCP,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Hombre,Titular de Unidad,0.08,1
250,CNDH,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Titular de Unidad,2.0,1
251,PGR,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director General Adjunto,4.0,1
252,PGR,SUSPENSION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director General,2.0,1
253,PGR,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General Adjunto,4.0,1
254,PRONIF,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Jefe de departamento,3.0,1
255,PGR,DESTITUCION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Titular de Unidad,4.0,1
256,PRONIF,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Subdirector,2.0,1
257,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Titular de Unidad,3.0,1
258,SHCP,SUSPENSION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Director General,3.0,1
259,PGR,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Jefe de departamento,3.0,1
260,CNDH,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General Adjunto,3.0,1
261,PRONIF,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Hombre,Director General Adjunto,3.0,1
262,PGR,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Director General,3.0,1
263,PGR,DESTITUCION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Subdirector,2.0,1
264,DIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Jefe de departamento,2.0,1
265,SHCP,DESTITUCION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,0.08,1
266,DIF,DESTITUCION,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Director General,4.0,1
267,PRONIF,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Titular de Unidad,3.0,1
268,SHCP,SANCIÓN ECONÓMICA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Director General,2.0,1
269,SHCP,DESTITUCION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Director General,0.08,1
270,CNDH,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Jefe de departamento,0.08,1
271,PGR,INHABILITADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Subdirector,3.0,1
272,IMSS,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Subdirector,3.0,1
273,PGR,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Subdirector,3.0,1
274,PRONIF,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Jefe de departamento,4.0,1
275,SHCP,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Director General,0.08,1
276,SHCP,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Titular de Unidad,2.0,1
277,DIF,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Subdirector,3.0,1
278,PRONIF,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Director General,3.0,1
279,IMSS,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,2.0,1
280,PGR,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Hombre,Director General Adjunto,0.08,1
281,IMSS,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Director General Adjunto,4.0,1
282,SHCP,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director,3.0,1
283,SHCP,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Titular de Unidad,3.0,1
284,SHCP,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Jefe de departamento,3.0,1
285,PRONIF,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Titular de Unidad,3.0,1
286,CNDH,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Jefe de departamento,0.08,1
287,PGR,MULTADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Titular de Unidad,0.08,1
288,SHCP,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Subdirector,2.0,1
289,SHCP,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Hombre,Director General,0.08,1
290,SHCP,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Titular de Unidad,2.0,1
291,DIF,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Subdirector,4.0,1
292,DIF,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General,0.08,1
293,CNDH,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Subdirector,3.0,1
294,DIF,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Jefe de departamento,3.0,1
295,CNDH,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Titular de Unidad,2.0,1
296,CNDH,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General Adjunto,0.08,1
297,PGR,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General,0.08,1
298,PGR,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Jefe de departamento,2.0,1
299,PRONIF,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Subdirector,3.0,1
300,DIF,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Director General,0.08,1
301,SHCP,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director General Adjunto,4.0,1
302,PRONIF,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Director General Adjunto,0.08,1
303,CNDH,INHABILITADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director,0.08,1
304,CNDH,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Jefe de departamento,0.08,1
305,PRONIF,DESTITUCION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Director General Adjunto,0.08,1
306,PGR,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Titular de Unidad,0.08,1
307,PRONIF,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director General,3.0,1
308,DIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Titular de Unidad,4.0,1
309,IMSS,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Jefe de departamento,4.0,1
310,SHCP,INHABILITADO,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director,4.0,1
311,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General,3.0,1
312,CNDH,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director,4.0,1
313,CNDH,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Hombre,Jefe de departamento,4.0,1
314,PRONIF,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,2.0,1
315,PGR,MULTADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Jefe de departamento,2.0,1
316,PGR,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Titular de Unidad,3.0,1
317,DIF,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director,4.0,1
318,SHCP,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Titular de Unidad,4.0,1
319,IMSS,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Director General,4.0,1
320,PRONIF,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Subdirector,2.0,1
321,IMSS,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Subdirector,0.08,1
322,IMSS,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director General,2.0,1
323,DIF,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Titular de Unidad,0.08,1
324,CNDH,SUSPENSION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director,0.08,1
325,PGR,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General,2.0,1
326,IMSS,SUSPENSION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Titular de Unidad,3.0,1
327,PRONIF,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Subdirector,0.08,1
328,SHCP,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Titular de Unidad,4.0,1
329,SHCP,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Titular de Unidad,4.0,1
330,DIF,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director,0.08,1
331,Contraloría interna,SUSPENSIÓN,ABUSO DE FUNCIONES,Banca y Finanzas,Hombre,Subdirector de Crédito,0.5,1
332,IMSS,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Titular de Unidad,4.0,1
333,CNDH,SANCIÓN ECONÓMICA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Jefe de departamento,4.0,1
334,PGR,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Director General Adjunto,0.08,1
335,CNDH,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Hombre,Subdirector,4.0,1
336,IMSS,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Director General,2.0,1
337,DIF,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director General Adjunto,4.0,1
338,DIF,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,3.0,1
339,CNDH,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director General,4.0,1
340,CNDH,MULTADO,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Titular de Unidad,0.08,1
341,SHCP,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,3.0,1
342,IMSS,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director,0.08,1
343,SHCP,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Hombre,Subdirector,4.0,1
344,IMSS,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director General,0.08,1
345,DIF,DESTITUCION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director General Adjunto,4.0,1
346,SHCP,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Director General Adjunto,3.0,1
347,IMSS,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Director General,4.0,1
348,DIF,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General,4.0,1
349,DIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Jefe de departamento,2.0,1
350,CNDH,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General Adjunto,0.08,1
351,SHCP,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Subdirector,0.08,1
352,CNDH,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Director General,0.08,1
353,SHCP,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Subdirector,2.0,1
354,PRONIF,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Titular de Unidad,0.08,1
355,DIF,SUSPENSION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director,0.08,1
356,PRONIF,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Subdirector,3.0,1
357,CNDH,SUSPENSION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Director,0.08,1
358,PRONIF,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Director,2.0,1
359,CNDH,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,2.0,1
360,PRONIF,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Subdirector,2.0,1
361,PRONIF,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Subdirector,0.08,1
362,DIF,MULTADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General,2.0,1
363,IMSS,SUSPENSION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,0.08,1
364,PGR,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Titular de Unidad,2.0,1
365,PRONIF,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director,2.0,1
366,IMSS,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Jefe de departamento,3.0,1
367,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director,3.0,1
368,CNDH,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Director,0.08,1
369,DIF,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Subdirector,4.0,1
370,CNDH,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Titular de Unidad,0.08,1
371,DIF,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Jefe de departamento,0.08,1
372,IMSS,DESTITUCION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Titular de Unidad,4.0,1
373,DIF,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Titular de Unidad,0.08,1
374,CNDH,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Subdirector,4.0,1
375,PGR,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Jefe de departamento,2.0,1
376,PGR,SANCIÓN ECONÓMICA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Director General Adjunto,0.08,1
377,PRONIF,INHABILITADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General Adjunto,4.0,1
378,IMSS,SANCIÓN ECONÓMICA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director,0.08,1
379,IMSS,INHABILITADO,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Titular de Unidad,0.08,1
380,PRONIF,MULTADO,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Subdirector,3.0,1
381,SHCP,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Subdirector,0.08,1
382,CNDH,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Director,4.0,1
383,PGR,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Titular de Unidad,4.0,1
384,CNDH,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Subdirector,4.0,1
385,IMSS,MULTADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Jefe de departamento,0.08,1
386,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Subdirector,0.08,1
387,PRONIF,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director,3.0,1
388,CNDH,INHABILITADO,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Jefe de departamento,3.0,1
389,PRONIF,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director General Adjunto,2.0,1
390,PGR,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director General Adjunto,4.0,1
391,CNDH,MULTADO,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Director General,0.08,1
392,PGR,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Jefe de departamento,0.08,1
393,CNDH,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director General,3.0,1
394,PGR,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Titular de Unidad,3.0,1
395,PGR,DESTITUCION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Jefe de departamento,0.08,1
396,PGR,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Director,3.0,1
397,DIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director,2.0,1
398,IMSS,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Jefe de departamento,4.0,1
399,CNDH,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Subdirector,0.08,1
400,SHCP,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,3.0,1
401,PGR,DESTITUCION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Jefe de departamento,3.0,1
402,PGR,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Jefe de departamento,4.0,1
403,DIF,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General Adjunto,3.0,1
404,CNDH,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,3.0,1
405,IMSS,SUSPENSION,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Director General,0.08,1
406,DIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Director General,0.08,1
407,IMSS,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Subdirector,4.0,1
408,PRONIF,SUSPENSION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Titular de Unidad,3.0,1
409,CNDH,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Titular de Unidad,0.08,1
410,DIF,DESTITUCION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,0.08,1
411,DIF,DESTITUCION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Director General,0.08,1
412,IMSS,INHABILITADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Titular de Unidad,4.0,1
413,PRONIF,MULTADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Subdirector,2.0,1
414,SHCP,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Subdirector,0.08,1
415,SHCP,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Director General Adjunto,0.08,1
416,IMSS,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Director General,2.0,1
417,DIF,MULTADO,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director,4.0,1
418,PRONIF,INHABILITADO,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Titular de Unidad,3.0,1
419,CNDH,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Titular de Unidad,4.0,1
420,PRONIF,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Subdirector,0.08,1
421,SHCP,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General,2.0,1
422,CNDH,SUSPENSION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Jefe de departamento,3.0,1
423,CNDH,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Subdirector,2.0,1
424,CNDH,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director General,0.08,1
425,PGR,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Titular de Unidad,4.0,1
426,CNDH,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Director,4.0,1
427,PRONIF,SUSPENSION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Director General,4.0,1
428,IMSS,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director,4.0,1
429,PRONIF,INHABILITADO,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Director,4.0,1
